gt,pno,tno,per,perType,player,shirtNumber,firstName,familyName,internationalFirstName,internationalFamilyName,firstNameInitial,familyNameInitial,internationalFirstNameInitial,internationalFamilyNameInitial,scoreboardName
00:02,16,2,1,REGULAR,S. Taylor Jr.,23,Steve,Taylor Jr.,Steve,Taylor Jr.,S,T,S,T,S. Taylor Jr.
11:49,9,2,2,REGULAR,A. Caracut,14,Andrei,Caracut,Andrei,Caracut,A,C,A,C,A. Caracut
09:53,2,2,2,REGULAR,J. Ponferrada,15,Jewel,Ponferada,Jewel,Ponferrada,J,P,J,P,J. Ponferada
09:08,10,2,2,REGULAR,L. Santillan,25,Leonard,Santillan,Leonard,Santillan,L,S,L,S,L. Santillan
07:33,1,2,2,REGULAR,M. Borboran,16,Mark Anthony,Borboran,Mark Anthony,Borboran,M,B,M,B,M. Borboran
06:57,10,2,2,REGULAR,L. Santillan,25,Leonard,Santillan,Leonard,Santillan,L,S,L,S,L. Santillan
05:25,3,2,2,REGULAR,N. Torres,29,Norbert,Torres,Norbert,Torres,N,T,N,T,N. Torres
04:40,4,2,2,REGULAR,R. Nambatac,27,Rey,Nambatac,Rey,Nambatac,R,N,R,N,R. Nambatac
04:05,3,2,2,REGULAR,N. Torres,29,Norbert,Torres,Norbert,Torres,N,T,N,T,N. Torres
03:23,8,2,2,REGULAR,A. Asistio,8,Anton,Asistio,Anton,Asistio,A,A,A,A,A. Asistio
02:40,3,2,2,REGULAR,N. Torres,29,Norbert,Torres,Norbert,Torres,N,T,N,T,N. Torres
02:13,8,2,2,REGULAR,A. Asistio,8,Anton,Asistio,Anton,Asistio,A,A,A,A,A. Asistio
01:38,16,2,2,REGULAR,S. Taylor Jr.,23,Steve,Taylor Jr.,Steve,Taylor Jr.,S,T,S,T,S. Taylor Jr.
00:01,16,2,2,REGULAR,S. Taylor Jr.,23,Steve,Taylor Jr.,Steve,Taylor Jr.,S,T,S,T,S. Taylor Jr.
09:32,9,2,3,REGULAR,A. Caracut,14,Andrei,Caracut,Andrei,Caracut,A,C,A,C,A. Caracut
08:53,16,2,3,REGULAR,S. Taylor Jr.,23,Steve,Taylor Jr.,Steve,Taylor Jr.,S,T,S,T,S. Taylor Jr.
07:05,6,2,3,REGULAR,B. Belga,30,Beau,Belga,Beau,Belga,B,B,B,B,B. Belga
07:05,6,2,3,REGULAR,B. Belga,30,Beau,Belga,Beau,Belga,B,B,B,B,B. Belga
05:55,4,2,3,REGULAR,R. Nambatac,27,Rey,Nambatac,Rey,Nambatac,R,N,R,N,R. Nambatac
05:55,4,2,3,REGULAR,R. Nambatac,27,Rey,Nambatac,Rey,Nambatac,R,N,R,N,R. Nambatac
04:55,10,2,3,REGULAR,L. Santillan,25,Leonard,Santillan,Leonard,Santillan,L,S,L,S,L. Santillan
04:10,10,2,3,REGULAR,L. Santillan,25,Leonard,Santillan,Leonard,Santillan,L,S,L,S,L. Santillan
02:42,8,2,3,REGULAR,A. Asistio,8,Anton,Asistio,Anton,Asistio,A,A,A,A,A. Asistio
01:02,10,2,3,REGULAR,L. Santillan,25,Leonard,Santillan,Leonard,Santillan,L,S,L,S,L. Santillan
00:27,10,2,3,REGULAR,L. Santillan,25,Leonard,Santillan,Leonard,Santillan,L,S,L,S,L. Santillan
11:25,2,2,4,REGULAR,J. Ponferrada,15,Jewel,Ponferada,Jewel,Ponferrada,J,P,J,P,J. Ponferada
10:07,10,2,4,REGULAR,L. Santillan,25,Leonard,Santillan,Leonard,Santillan,L,S,L,S,L. Santillan
08:58,9,2,4,REGULAR,A. Caracut,14,Andrei,Caracut,Andrei,Caracut,A,C,A,C,A. Caracut
06:48,9,2,4,REGULAR,A. Caracut,14,Andrei,Caracut,Andrei,Caracut,A,C,A,C,A. Caracut
06:00,4,2,4,REGULAR,R. Nambatac,27,Rey,Nambatac,Rey,Nambatac,R,N,R,N,R. Nambatac
04:17,11,2,4,REGULAR,M. Nieto,7,Mike,Nieto,Mike,Nieto,M,N,M,N,M. Nieto
02:56,11,2,4,REGULAR,M. Nieto,7,Mike,Nieto,Mike,Nieto,M,N,M,N,M. Nieto
01:05,14,2,4,REGULAR,S. Ildefonso,10,Shaun,Ildefonso,Shaun,Ildefonso,S,I,S,I,S. Ildefonso
