name,nameInternational,shortName,shortNameInternational,logo,code,codeInternational,coach,assistcoach1,assistcoach2,asstSep,score,full_score,tot_sMinutes,tot_sFieldGoalsMade,tot_sFieldGoalsAttempted,tot_sFieldGoalsPercentage,tot_sThreePointersMade,tot_sThreePointersAttempted,tot_sThreePointersPercentage,tot_sTwoPointersMade,tot_sTwoPointersAttempted,tot_sTwoPointersPercentage,tot_sFreeThrowsMade,tot_sFreeThrowsAttempted,tot_sFreeThrowsPercentage,tot_sReboundsDefensive,tot_sReboundsOffensive,tot_sReboundsTotal,tot_sAssists,tot_sTurnovers,tot_sSteals,tot_sBlocks,tot_sBlocksReceived,tot_sFoulsPersonal,tot_sFoulsOn,tot_sFoulsTotal,tot_sPoints,tot_sPointsFromTurnovers,tot_sPointsSecondChance,tot_sPointsFastBreak,tot_sBenchPoints,tot_sPointsInThePaint,tot_sTimeLeading,tot_sBiggestLead,tot_sBiggestScoringRun,tot_sLeadChanges,tot_sTimesScoresLevel,tot_sFoulsTeam,tot_sReboundsTeam,tot_sReboundsTeamDefensive,tot_sReboundsTeamOffensive,tot_sTurnoversTeam,tot_eff_1,tot_eff_2,tot_eff_3,tot_eff_4,tot_eff_5,tot_eff_6,tot_eff_7,p1_score,p2_score,p3_score,p4_score,fouls,timeouts
Barangay Ginebra San Miguel,Barangay Ginebra San Miguel,Brgy. Ginebra,Brgy. Ginebra,,GIN,GIN,Tim Cone,Rodericko Racela,Richard del Rosario,", ",71,71,239:60,28,83,33,6,33,18,22,50,44,9,16,56,40,21,61,18,17,4,4,0,16,23,16,71,6,11,9,20,36,9.98,6,8,4,1,0,5,3,2,2,79,2,44,206,86,79,79,23,5,21,22,2,0
Rain or Shine Elasto Painters,Rain or Shine Elasto Painters,Rain or Shine,Rain or Shine,,ROS,ROS,Yeng Guiao,Mike Buendia,Caloy Garcia,", ",93,93,239:60,33,79,41,17,43,39,16,36,44,10,17,58,35,9,44,25,8,7,0,4,23,16,23,93,20,5,7,52,22,37.303333333333,32,17,4,1,0,3,3,0,1,108,2,72.2,245.5,97,108,108,25,30,17,21,7,0
