metric,name,tot,tno,pno,shirtNumber,firstName,familyName,internationalFirstName,internationalFamilyName,firstNameInitial,familyNameInitial,internationalFirstNameInitial,internationalFamilyNameInitial,scoreboardName,photoT,photoS
sPoints,N. Pinto,9,1,5,17,Nard John,Pinto,Nard John,Pinto,N,P,N,P,N. Pinto,https://se-img.dcd-production.i.geniussports.com/5b1459519018073a28c5f7c5d557cd15T1.jpg,https://se-img.dcd-production.i.geniussports.com/5b1459519018073a28c5f7c5d557cd15S1.jpg
sPoints,C. Standhardinger,9,1,10,34,Christian,Standhardinger,Christian,Standhardinger,C,S,C,S,C. Standhardinger,https://se-img.dcd-production.i.geniussports.com/bdfa69c510c102f507731612589d1ccdT1.jpg,https://se-img.dcd-production.i.geniussports.com/bdfa69c510c102f507731612589d1ccdS1.jpg
sPoints,J. Aguilar,8,1,2,25,Japeth,Aguilar,Japeth,Aguilar,J,A,J,A,J. Aguilar,https://se-img.dcd-production.i.geniussports.com/006ec822693ce354acca0f1411f10505T1.jpg,https://se-img.dcd-production.i.geniussports.com/006ec822693ce354acca0f1411f10505S1.jpg
sSteals,M. Borboran,2,2,1,16,Mark Anthony,Borboran,Mark Anthony,Borboran,M,B,M,B,M. Borboran,https://se-img.dcd-production.i.geniussports.com/81678d966cfcce560f3e9b5b38266a51T1.jpg,https://se-img.dcd-production.i.geniussports.com/81678d966cfcce560f3e9b5b38266a51S1.jpg
sSteals,A. Asistio,2,2,8,8,Anton,Asistio,Anton,Asistio,A,A,A,A,A. Asistio,https://se-img.dcd-production.i.geniussports.com/54fb50ad00fba372d6ff659eb69dbce6T1.jpg,https://se-img.dcd-production.i.geniussports.com/54fb50ad00fba372d6ff659eb69dbce6S1.jpg
sSteals,R. Nambatac,1,2,4,27,Rey,Nambatac,Rey,Nambatac,R,N,R,N,R. Nambatac,https://se-img.dcd-production.i.geniussports.com/8cf9e52e3f9a88fc5fcad39fbed0f3f8T1.jpg,https://se-img.dcd-production.i.geniussports.com/8cf9e52e3f9a88fc5fcad39fbed0f3f8S1.jpg
sSteals,M. Nieto,1,2,11,7,Mike,Nieto,Mike,Nieto,M,N,M,N,M. Nieto,https://se-img.dcd-production.i.geniussports.com/ed1043af7e1ef14891938c487171f5e6T1.jpg,https://se-img.dcd-production.i.geniussports.com/ed1043af7e1ef14891938c487171f5e6S1.jpg
sSteals,S. Taylor Jr.,1,2,16,23,Steve,Taylor Jr.,Steve,Taylor Jr.,S,T,S,T,S. Taylor Jr.,NA,NA
sAssists,R. Nambatac,9,2,4,27,Rey,Nambatac,Rey,Nambatac,R,N,R,N,R. Nambatac,https://se-img.dcd-production.i.geniussports.com/8cf9e52e3f9a88fc5fcad39fbed0f3f8T1.jpg,https://se-img.dcd-production.i.geniussports.com/8cf9e52e3f9a88fc5fcad39fbed0f3f8S1.jpg
sAssists,S. Taylor Jr.,5,2,16,23,Steve,Taylor Jr.,Steve,Taylor Jr.,S,T,S,T,S. Taylor Jr.,NA,NA
sAssists,M. Nieto,3,2,11,7,Mike,Nieto,Mike,Nieto,M,N,M,N,M. Nieto,https://se-img.dcd-production.i.geniussports.com/ed1043af7e1ef14891938c487171f5e6T1.jpg,https://se-img.dcd-production.i.geniussports.com/ed1043af7e1ef14891938c487171f5e6S1.jpg
sAssists,B. Belga,2,2,6,30,Beau,Belga,Beau,Belga,B,B,B,B,B. Belga,https://se-img.dcd-production.i.geniussports.com/ff9f1fa44b62a2a317fb78457373e023T1.jpg,https://se-img.dcd-production.i.geniussports.com/ff9f1fa44b62a2a317fb78457373e023S1.jpg
sAssists,A. Caracut,2,2,9,14,Andrei,Caracut,Andrei,Caracut,A,C,A,C,A. Caracut,https://se-img.dcd-production.i.geniussports.com/94ff2c9d164c4fec80cfa28e263b84d9T1.jpg,https://se-img.dcd-production.i.geniussports.com/94ff2c9d164c4fec80cfa28e263b84d9S1.jpg
sReboundsTotal,S. Taylor Jr.,10,2,16,23,Steve,Taylor Jr.,Steve,Taylor Jr.,S,T,S,T,S. Taylor Jr.,NA,NA
sReboundsTotal,N. Torres,7,2,3,29,Norbert,Torres,Norbert,Torres,N,T,N,T,N. Torres,https://se-img.dcd-production.i.geniussports.com/d89f533c1b104e0d6ab6c645fd364c84T1.jpg,https://se-img.dcd-production.i.geniussports.com/d89f533c1b104e0d6ab6c645fd364c84S1.jpg
sReboundsTotal,J. Ponferrada,5,2,2,15,Jewel,Ponferada,Jewel,Ponferrada,J,P,J,P,J. Ponferada,https://se-img.dcd-production.i.geniussports.com/7f95c849195c47317ed215b55d1e0a21T1.jpg,https://se-img.dcd-production.i.geniussports.com/7f95c849195c47317ed215b55d1e0a21S1.jpg
sReboundsTotal,M. Borboran,4,2,1,16,Mark Anthony,Borboran,Mark Anthony,Borboran,M,B,M,B,M. Borboran,https://se-img.dcd-production.i.geniussports.com/81678d966cfcce560f3e9b5b38266a51T1.jpg,https://se-img.dcd-production.i.geniussports.com/81678d966cfcce560f3e9b5b38266a51S1.jpg
sReboundsTotal,L. Santillan,4,2,10,25,Leonard,Santillan,Leonard,Santillan,L,S,L,S,L. Santillan,https://se-img.dcd-production.i.geniussports.com/f573c00aab6dd660b1999d4e85d39c01T1.jpg,https://se-img.dcd-production.i.geniussports.com/f573c00aab6dd660b1999d4e85d39c01S1.jpg
sPoints,S. Taylor Jr.,21,2,16,23,Steve,Taylor Jr.,Steve,Taylor Jr.,S,T,S,T,S. Taylor Jr.,NA,NA
sPoints,L. Santillan,15,2,10,25,Leonard,Santillan,Leonard,Santillan,L,S,L,S,L. Santillan,https://se-img.dcd-production.i.geniussports.com/f573c00aab6dd660b1999d4e85d39c01T1.jpg,https://se-img.dcd-production.i.geniussports.com/f573c00aab6dd660b1999d4e85d39c01S1.jpg
sPoints,M. Nieto,10,2,11,7,Mike,Nieto,Mike,Nieto,M,N,M,N,M. Nieto,https://se-img.dcd-production.i.geniussports.com/ed1043af7e1ef14891938c487171f5e6T1.jpg,https://se-img.dcd-production.i.geniussports.com/ed1043af7e1ef14891938c487171f5e6S1.jpg
sPoints,A. Asistio,9,2,8,8,Anton,Asistio,Anton,Asistio,A,A,A,A,A. Asistio,https://se-img.dcd-production.i.geniussports.com/54fb50ad00fba372d6ff659eb69dbce6T1.jpg,https://se-img.dcd-production.i.geniussports.com/54fb50ad00fba372d6ff659eb69dbce6S1.jpg
sPoints,A. Caracut,9,2,9,14,Andrei,Caracut,Andrei,Caracut,A,C,A,C,A. Caracut,https://se-img.dcd-production.i.geniussports.com/94ff2c9d164c4fec80cfa28e263b84d9T1.jpg,https://se-img.dcd-production.i.geniussports.com/94ff2c9d164c4fec80cfa28e263b84d9S1.jpg
